frame,sample_id,timestamp_s,gt_state,ego_speed_kph,tcp_speed_0_0p6_kph,tcp_speed_0p6_1p0_kph,tcp_speed_1p0_1p6_kph,tcp_speed_1p6_2p0_kph,filtered_mpc_entry_speed_kph,ade_m,fde_2s_m,gt_accel,pred_accel,gt_steer,pred_steer
97,97,50.580551679,DRIVE,26.796099758148195,26.455528,27.214323,29.033175,29.59889,27.534961762463947,0.08351213485002518,0.09220734238624573,0.034478113,0.07597363,-0.18587196,-0.24675143
98,98,51.080551679,DRIVE,26.4488356590271,27.498829,28.867823,30.919832,32.745747,27.522315323137576,0.29252296686172485,0.49366629123687744,0.043447953,0.24332929,-0.18892948,-0.1898017
99,99,51.580551679,DRIVE,27.21805715560913,29.581364,31.376448,32.694637,33.738213,28.242982647875117,0.3439423441886902,0.49957531690597534,0.4968113,0.49725854,-0.07790861,-0.08062667
100,100,52.080551679,DRIVE,29.512298583984375,30.900139,32.557682,32.765865,33.25789,29.1729875873908,0.11479011178016663,0.04071037098765373,0.46046543,0.46989596,-0.0031247323,0.0026404858
101,101,52.580551679,DRIVE,31.438187313079833,32.276474,33.01184,32.63976,31.254852,30.259208499034244,0.19857856631278992,0.3966505825519562,0.3373666,0.23310494,0.013604259,-0.0057617426
102,102,53.080551679,DRIVE,32.680728149414065,32.929688,32.877743,33.14102,31.763248,31.193876549915476,0.22308334708213806,0.2602384388446808,0.22532642,0.16200614,0.016292239,0.008499503
103,103,53.580551679,DRIVE,33.45515356063843,33.93791,32.071095,31.293638,29.04839,32.15428855245849,0.21451100707054138,0.3415282070636749,0.11566734,0.18633926,0.039926894,0.021900296
104,104,54.080551679,DRIVE,33.60466375350952,33.7642,30.443434,27.753256,26.006414,32.717757499283564,0.2345908135175705,0.3275149464607239,0.019018836,0.041303992,0.06617101,0.06843746
105,105,54.580551679,DRIVE,32.90604658126831,32.38886,28.82074,24.862728,23.246367,32.60264308635683,0.25886237621307373,0.3718869686126709,-0.009098706,0.03565049,0.17190325,0.24003339
106,106,55.080551679,DRIVE,31.01068353652954,29.199713,25.706509,22.442593,21.543325,31.41161773681431,0.26080521941185,0.31929194927215576,-0.07163116,-0.10610193,0.28794032,0.5199728
